College,GPA,Acceptance Rate,Type of Institution,Number of Students
Fresno City College,2.4, --, Public,5570
Fresno City College,2.4, --, Public,5570
Fresno City College,2.4, --, Public,5570
Hinds Community College,2.3, 100%, Public,2795
Voorhees College,2.0, 65%, Private,92
Livingstone College,2.3, 69%, Private,211
Fresno City College,2.4, --, Public,5570
Lincoln College,2.6, 70%, Private,248
Pensacola State College,2.5, 100%, Public,2306
Hinds Community College,2.3, 100%, Public,2795
Voorhees College,2.0, 65%, Private,92
Livingstone College,2.3, 69%, Private,211
McHenry County College,2.3, --, Public,1954
South Suburban College,2.3, --, Public,842
McHenry County College,2.3, --, Public,1954
South Suburban College,2.3, --, Public,842
Southern University at New Orleans,2.4, 72%, Public,566
Fisher College,2.7, 78%, Private,355
Pensacola State College,2.5, 100%, Public,2306
Hinds Community College,2.3, 100%, Public,2795
Hinds Community College,2.3, 100%, Public,2795
Voorhees College,2.0, 65%, Private,92
Miles College,2.5, --, Private,360
Suffolk County Community College,2.5, 100%, Public,5642
Livingstone College,2.3, 69%, Private,211
Southern University at New Orleans,2.4, 72%, Public,566
Talladega College,2.4, --, Private,289
Richland Community College,2.2, --, Public,559
Louisburg College,2.3, 82%, Private,122
Bossier Parish Community College,2.4, --, Public,1522
Cheyney University of Pennsylvania,2.4, 85%, Public,156
Metropolitan College of New York,2.1, 40%, Private,214
Talladega College,2.4, --, Private,289
Richland Community College,2.2, --, Public,559
Louisburg College,2.3, 82%, Private,122
Bossier Parish Community College,2.4, --, Public,1522
Cheyney University of Pennsylvania,2.4, 85%, Public,156
Metropolitan College of New York,2.1, 40%, Private,214
Kentucky State University,2.7, 84%, Public,572
Coppin State University,2.6, 40%, Public,587
Shaw University,2.6, 71%, Private,321
SUNY Morrisville,2.6, 75%, Public,622
Bloomfield College of Montclair State University,2.7, 85%, Private,383
Voorhees College,2.0, 65%, Private,92
Miles College,2.5, --, Private,360
Saint Augustine's University,2.5, 67%, Private,278
University of Advancing Technology,2.5, 81%, Private,209
University of South Carolina-Upstate,2.5, 60%, Public,1510
Johnson C Smith University,2.5, 49%, Private,326
Wiley College,2.5, 40%, Private,154
McHenry County College,2.3, --, Public,1954
Southern University at Shreveport,2.0, --, Public,753
Virginia University of Lynchburg,2.1, --, Private,61
Benjamin Franklin Institute of Technology,2.3, --, Private,116
Valley Forge Military College,2.0, 94%, Private,28
Southeast Technical College,2.4, --, Public,582
Louisiana Delta Community College,2.4, --, Public,968
Southern University at Shreveport,2.0, --, Public,753
Virginia University of Lynchburg,2.1, --, Private,61
Benjamin Franklin Institute of Technology,2.3, --, Private,116
Valley Forge Military College,2.0, 94%, Private,28
Southeast Technical College,2.4, --, Public,582
Louisiana Delta Community College,2.4, --, Public,968
University of the West,2.4, --, Private,60
Virginia Union University,2.7, 75%, Private,379
Florida Memorial University,2.7, 38%, Private,232
Owens Community College,2.7, --, Public,1884
Suffolk County Community College,2.5, 100%, Public,5642
Livingstone College,2.3, 69%, Private,211
Lane College,2.6, 48%, Private,274
Saint Augustine's University,2.5, 67%, Private,278
Horry-Georgetown Technical College,2.5, --, Public,1602
Niagara County Community College,2.5, --, Public,1097
South Suburban College,2.3, --, Public,842
Southern University at New Orleans,2.4, 72%, Public,566
Western New Mexico University,2.5, --, Public,724
Talladega College,2.4, --, Private,289
Harcum College,2.5, 87%, Private,288
Fresno City College,2.4, --, Public,5570
Lincoln College,2.6, 70%, Private,248
Fisher College,2.7, 78%, Private,355
Albany State University,2.8, 73%, Public,1627
Savannah State University,2.8, 46%, Public,872
SUNY Buffalo State,2.8, 80%, Public,2085
University of the West,2.4, --, Private,60
Selma University,2.2, --, Private,79
Paul D Camp Community College,2.2, --, Public,309
Nazarene Bible College,2.4, --, Private,152
Southwestern Indian Polytechnic Institute,2.1, --, Public,112
Gupton Jones College of Funeral Service,2.0, --, Private,66
Morrison Institute of Technology,2.2, --, Private,20
Selma University,2.2, --, Private,79
University of Advancing Technology,2.5, 81%, Private,209
University of South Carolina-Upstate,2.5, 60%, Public,1510
Johnson C Smith University,2.5, 49%, Private,326
East-West University,2.7, 41%, Private,105
Wiley College,2.5, 40%, Private,154
Richland Community College,2.2, --, Public,559
Monroe County Community College,2.5, --, Public,576
Louisburg College,2.3, 82%, Private,122
University of Arkansas-Pulaski Technical College,2.5, 100%, Public,1202
Pensacola State College,2.5, 100%, Public,2306
Kentucky State University,2.7, 84%, Public,572
Coppin State University,2.6, 40%, Public,587
Shaw University,2.6, 71%, Private,321
SUNY Morrisville,2.6, 75%, Public,622
Bloomfield College of Montclair State University,2.7, 85%, Private,383
SUNY Brockport,2.8, 58%, Public,1898
Lincoln University,2.8, --, Public,503
Lincoln College,2.6, 70%, Private,248
Central State University,2.8, 58%, Public,1005
Fisher College,2.7, 78%, Private,355
Carver Bible College,2.0, --, Private,15
Polytechnic University of Puerto Rico-Miami,2.0, --, Private,40
Inter American University of Puerto Rico-Fajardo,2.0, 49%, Private,402
Washington State University,3.4, 80%, Public,7790
James Madison University,3.2, 78%, Public,5556
Morgan State University,3.1, 74%, Public,1908
Paul D Camp Community College,2.2, --, Public,309
Nazarene Bible College,2.4, --, Private,152
Southwestern Indian Polytechnic Institute,2.1, --, Public,112
Gupton Jones College of Funeral Service,2.0, --, Private,66
Post University,2.7, 97%, Private,3461
Villa Maria College,2.6, 74%, Private,127
Edward Waters University,2.6, 57%, Private,568
Fayetteville Technical Community College,2.7, --, Public,2733
McHenry County College,2.3, --, Public,1954
Horry-Georgetown Technical College,2.5, --, Public,1602
Niagara County Community College,2.5, --, Public,1097
Los Angeles Harbor College,2.5, --, Public,2025
Chipola College,2.5, --, Public,486
Bossier Parish Community College,2.4, --, Public,1522
Cheyney University of Pennsylvania,2.4, 85%, Public,156
Le Moyne-Owen College,2.5, 64%, Private,164
Metropolitan College of New York,2.1, 40%, Private,214
Miles College,2.5, --, Private,360
Virginia Union University,2.7, 75%, Private,379
Florida Memorial University,2.7, 38%, Private,232
Owens Community College,2.7, --, Public,1884
Suffolk County Community College,2.5, 100%, Public,5642
Lane College,2.6, 48%, Private,274
Pensacola State College,2.5, 100%, Public,2306
New England College,2.8, 96%, Private,1121
Kentucky State University,2.7, 84%, Public,572
Coppin State University,2.6, 40%, Public,587
Shaw University,2.6, 71%, Private,321
Langston University,2.8, --, Public,510
SUNY Morrisville,2.6, 75%, Public,622
Texas State University,3.4, 85%, Public,9453
Pace University,3.4, 83%, Private,3209
James Madison University,3.2, 78%, Public,5556
The University of Texas at San Antonio,3.4, 84%, Public,8686
University of Nevada-Las Vegas,3.4, 81%, Public,7786
Sam Houston State University,3.3, 92%, Public,5478
Portland State University,3.4, 95%, Public,5910
Morgan State University,3.1, 74%, Public,1908
California State University-Fresno,3.2, 90%, Public,6374
St. Thomas University,3.2, 60%, Private,1400
University of Wisconsin-Milwaukee,3.2, 79%, Public,6141
The Evergreen State College,3.1, 98%, Public,570
Tennessee State University,3.2, 53%, Public,1904
Miami Dade College,3.2, --, Public,11631
The Evergreen State College,3.1, 98%, Public,570
Alabama State University,3.0, 99%, Public,1018
Texas Southern University,3.0, 66%, Public,1754
CUNY Queens College,3.0, 53%, Public,4925
Saint Leo University,3.1, 73%, Private,2458
Morrison Institute of Technology,2.2, --, Private,20
Carver Bible College,2.0, --, Private,15
Polytechnic University of Puerto Rico-Miami,2.0, --, Private,40
Inter American University of Puerto Rico-Fajardo,2.0, 49%, Private,402
Alabama State University,3.0, 99%, Public,1018
Texas Southern University,3.0, 66%, Public,1754
James Madison University,3.2, 78%, Public,5556
Sam Houston State University,3.3, 92%, Public,5478
East Carolina University,3.3, 88%, Public,7200
San Francisco State University,3.3, 84%, Public,6837
South Suburban College,2.3, --, Public,842
